[2024-03-22 18:11:43,206] [INFO] Logger configured successfully.
[2024-03-22 18:11:48,484] [INFO] ============= Starting Model Evaluation stage ==============
[2024-03-22 18:11:48,490] [INFO] YAML file 'config\config.yaml' loaded successfully.
[2024-03-22 18:11:48,495] [INFO] YAML file 'params.yaml' loaded successfully.
[2024-03-22 18:11:48,498] [INFO] YAML file 'schema.yaml' loaded successfully.
[2024-03-22 18:11:48,499] [INFO] Directory created at 'artifacts'.
[2024-03-22 18:11:48,501] [INFO] Directory created at 'artifacts/model_evaluation'.
[2024-03-22 18:11:50,620] [INFO] JSON file saved at 'artifacts\model_evaluation\metrics.json'.
[2024-03-22 18:11:59,732] [INFO] ======= Model Evaluation stage completed successfully ======
[2024-03-22 18:13:31,579] [INFO] Logger configured successfully.
[2024-03-22 18:13:34,686] [INFO] ============= Starting Model Evaluation stage ==============
[2024-03-22 18:13:34,690] [INFO] YAML file 'config\config.yaml' loaded successfully.
[2024-03-22 18:13:34,693] [INFO] YAML file 'params.yaml' loaded successfully.
[2024-03-22 18:13:34,694] [INFO] YAML file 'schema.yaml' loaded successfully.
[2024-03-22 18:13:34,695] [INFO] Directory created at 'artifacts'.
[2024-03-22 18:13:34,695] [INFO] Directory created at 'artifacts/model_evaluation'.
[2024-03-22 18:13:36,147] [INFO] JSON file saved at 'artifacts\model_evaluation\metrics.json'.
[2024-03-22 18:13:42,299] [INFO] ======= Model Evaluation stage completed successfully ======
[2024-03-22 18:25:48,048] [INFO] Logger configured successfully.
[2024-03-22 18:25:51,064] [INFO] ============= Starting Model Evaluation stage ==============
[2024-03-22 18:25:51,071] [INFO] YAML file 'config\config.yaml' loaded successfully.
[2024-03-22 18:25:51,075] [INFO] YAML file 'params.yaml' loaded successfully.
[2024-03-22 18:25:51,078] [INFO] YAML file 'schema.yaml' loaded successfully.
[2024-03-22 18:25:51,079] [INFO] Directory created at 'artifacts'.
[2024-03-22 18:25:51,080] [INFO] Directory created at 'artifacts/model_evaluation'.
[2024-03-22 18:25:52,575] [INFO] JSON file saved at 'artifacts\model_evaluation\metrics.json'.
[2024-03-22 18:26:00,019] [INFO] ======= Model Evaluation stage completed successfully ======
[2024-03-22 18:26:31,046] [INFO] Logger configured successfully.
[2024-03-22 18:26:33,795] [INFO] ============= Starting Model Evaluation stage ==============
[2024-03-22 18:26:33,798] [INFO] YAML file 'config\config.yaml' loaded successfully.
[2024-03-22 18:26:33,800] [INFO] YAML file 'params.yaml' loaded successfully.
[2024-03-22 18:26:33,802] [INFO] YAML file 'schema.yaml' loaded successfully.
[2024-03-22 18:26:33,802] [INFO] Directory created at 'artifacts'.
[2024-03-22 18:26:33,802] [INFO] Directory created at 'artifacts/model_evaluation'.
[2024-03-22 18:26:35,220] [INFO] JSON file saved at 'artifacts\model_evaluation\metrics.json'.
[2024-03-22 18:26:41,591] [INFO] ======= Model Evaluation stage completed successfully ======
[2024-03-22 18:29:19,614] [INFO] Logger configured successfully.
[2024-03-22 18:29:22,817] [INFO] ============= Starting Model Evaluation stage ==============
[2024-03-22 18:29:22,825] [INFO] YAML file 'config\config.yaml' loaded successfully.
[2024-03-22 18:29:22,829] [INFO] YAML file 'params.yaml' loaded successfully.
[2024-03-22 18:29:22,833] [INFO] YAML file 'schema.yaml' loaded successfully.
[2024-03-22 18:29:22,834] [INFO] Directory created at 'artifacts'.
[2024-03-22 18:29:22,834] [INFO] Directory created at 'artifacts/model_evaluation'.
[2024-03-22 18:29:26,132] [INFO] JSON file saved at 'artifacts\model_evaluation\metrics.json'.
